window_length,hidden_layer_sizes,alpha,rmse
1,"(20,)",0.0001,0.5340381463987302
1,"(20,)",0.001,0.534815119051695
1,"(20,)",0.01,0.5343049424031096
1,"(35,)",0.0001,0.6370074442403232
1,"(35,)",0.001,0.6374629924411432
1,"(35,)",0.01,0.6083004942735488
2,"(20,)",0.0001,0.5853828546206933
2,"(20,)",0.001,0.5853263673321772
2,"(20,)",0.01,0.5838495776540961
2,"(35,)",0.0001,0.6913359934650551
2,"(35,)",0.001,0.6919922064278173
2,"(35,)",0.01,0.6874390946813055
3,"(20,)",0.0001,0.7321937610231914
3,"(20,)",0.001,0.7319025360861748
3,"(20,)",0.01,0.7267787202810294
3,"(35,)",0.0001,0.7220447084707574
3,"(35,)",0.001,0.7213886802723443
3,"(35,)",0.01,0.7099364364915637
4,"(20,)",0.0001,0.6614942345057335
4,"(20,)",0.001,0.6610390430254655
4,"(20,)",0.01,0.6593147200126929
4,"(35,)",0.0001,0.6538513815333755
4,"(35,)",0.001,0.6529557860710822
4,"(35,)",0.01,0.6513239121914696
5,"(20,)",0.0001,0.8252624519130208
5,"(20,)",0.001,0.822430466600348
5,"(20,)",0.01,0.8224523979979376
5,"(35,)",0.0001,0.7715806897670773
5,"(35,)",0.001,0.7716535518734914
5,"(35,)",0.01,0.7723419546683571
